date,day,name,start,end,venue,price,arena_night,description
2026-09-21,Mon,BathPizzaCo X Acoustic Night,6pm,10pm,"Bath Pizza Co, City Centre",Free,no,Live music & food
2026-09-21,Mon,The Postgraduate Quiz,7pm,10pm,The Edge Event Space,Free,no,Quiz competition
2026-09-21,Mon,The Big Freshers ICEBREAKER,10pm,3am,The Tub,Ticketed,no,Tour event
2026-09-22,Tue,be pART of the ART,10am,3pm,The Edge Event Space,Free,no,Creative community mural
2026-09-22,Tue,Information Point,10am,4pm,SU Level 2,Free,no,Settlement support services
2026-09-22,Tue,Street Food Market,11am,4pm,The Parade,Free,no,Vendor event
2026-09-22,Tue,Bath Urban Treescape - Riverside Ramble,12pm,1pm,Green Park Station,Free,no,Urban tree walk
2026-09-22,Tue,Trampoline Tuesday (sessions),1:45pm,4pm,Bath Sports & Leisure,Free/Ticketed,no,Bounce activity
2026-09-22,Tue,Boardgames and Biscuits,3:30pm,6:30pm,The Edge Event Space,Free,no,Social gaming activity
2026-09-22,Tue,Yoga - Beginner Friendly (City),6pm,7pm,"SCALA Hall, Oldfield Park",Free,no,Beginner yoga
2026-09-22,Tue,Postgraduate Pub and Bar Tour,6:45pm,11pm,Bath Abbey,Ticketed,no,Guided pub tour
2026-09-22,Tue,Secret Cinema - Action,7pm,10pm,The Edge Theatre,Free/Ticketed,no,Mystery film screening
2026-09-22,Tue,The Big Plug Quiz,7pm,10pm,"Founders Hall, FW26",Ticketed,yes,Test your knowledge to battle it out for prizes
2026-09-22,Tue,Night Hike,8pm,10pm,Outside Library,Free,no,Trail walk around campus
2026-09-23,Wed,be pART of the ART,10am,3pm,The Edge Event Space,Free,no,Creative community mural
2026-09-23,Wed,Information Point,10am,4pm,SU Level 2,Free,no,Settlement support services
2026-09-23,Wed,Sports Fair - Priority Access,11am,11:30am,"Founders Hall, FW26",Free,no,Early entry for accessibility needs
2026-09-23,Wed,Sports Fair,11:30am,4pm,"Founders Hall, FW26",Free,no,Meet sports clubs
2026-09-23,Wed,Charity Shop Tour,1pm,3pm,Bath City Centre,Free,no,Sustainable shopping tour
2026-09-23,Wed,Boardgames and Biscuits,3:30pm,6:30pm,The Edge Event Space,Free,no,Social gaming activity
2026-09-23,Wed,Casual Chess,3:30pm,6:30pm,Chancellors' Green,Free,no,Outdoor chess
2026-09-23,Wed,Yoga - Beginner Friendly,4:30pm,5:30pm,The Edge Dance Studio L3,Free,no,Beginner yoga
2026-09-23,Wed,Roller Disco,6pm,11pm,"Founders Hall, FW26",Ticketed,yes,Skating event with music — multiple sessions
2026-09-23,Wed,Secret Cinema - Comedy,7pm,10pm,The Edge Theatre,Free/Ticketed,no,Mystery film screening
2026-09-23,Wed,Bath Ghost Tour,7:30pm,9:30pm,Bath Abbey,Ticketed,no,Experience haunted Bath
2026-09-23,Wed,Postgraduate Wine and Cheese,7:30pm,10:30pm,The Edge Event Space,Ticketed,no,Social networking event
2026-09-24,Thu,be pART of the ART,10am,3pm,The Edge Event Space,Free,no,Creative community mural
2026-09-24,Thu,SU Groups Fair,11am,4pm,The Parade,Free,no,Meet societies and groups
2026-09-24,Thu,Pottery Painting,12pm,3pm,"Founders Hall, FW26",Free,no,Creative activity
2026-09-24,Thu,Yoga - Beginner Friendly,2pm,3pm,The Edge Dance Studio L3,Free,no,Beginner yoga
2026-09-24,Thu,Postgraduate Boardgames and Biscuits,3pm,6pm,The Plug,Free,no,Social gaming activity
2026-09-24,Thu,FW26 Bingo Lingo,6pm,11pm,FW26 Arena,Ticketed,yes,Hilarious hosts and wild performers — the UK's most renowned bingo
2026-09-24,Thu,MusicSoc Band Night,6pm,11pm,The Tub,Free,no,Local bands performance
2026-09-24,Thu,BUST Murder Mystery,7pm,9pm,"Weston Studio, The Edge",Free,no,Interactive game
2026-09-24,Thu,Secret Cinema - Thriller,7pm,10pm,The Edge Theatre,Free/Ticketed,no,Mystery film screening
2026-09-24,Thu,Bath Ghost Tour,7:30pm,9:30pm,Bath Abbey,Ticketed,no,Experience haunted Bath
2026-09-25,Fri,be pART of the ART,10am,3pm,The Edge Event Space,Free,no,Creative community mural
2026-09-25,Fri,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-25,Fri,Freshers' Fair - Priority Access,10am,10:30am,"Founders Hall, FW26",Free,no,Early entry for accessibility needs
2026-09-25,Fri,Freshers' Fair,10:30am,4pm,"Founders Hall, FW26",Free,no,Local and national companies
2026-09-25,Fri,Yoga - Beginner Friendly,2pm,3pm,The Edge Dance Studio L3,Free,no,Beginner yoga
2026-09-25,Fri,Boardgames and Biscuits,3:30pm,6:30pm,The Edge Event Space,Free,no,Social gaming activity
2026-09-25,Fri,Puttify - Futuristic Mini Golf (sessions),5pm,7pm,Bath Sports & Leisure,Free/Ticketed,no,Mini golf competition
2026-09-25,Fri,Little Theatre Cinema Takeover,5:15pm,8pm,Little Theatre Cinema,Ticketed,no,Film screening (Fantastic Mr Fox)
2026-09-25,Fri,Secret Cinema - Postgraduate,7pm,10pm,The Edge Theatre,Free/Ticketed,no,Mystery film screening
2026-09-25,Fri,The Social,10:30pm,3am,The Tub,Ticketed,no,Club night
2026-09-26,Sat,Cereal Dating,9am,11:30am,The Tub,Free,no,Build new friendships
2026-09-26,Sat,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-26,Sat,The Challenge Zone,12pm,4pm,"Founders Hall, FW26",Free,no,Team competition event
2026-09-26,Sat,Postgraduate Picnic,12:30pm,2pm,Parade Gardens,Free,no,Outdoor networking
2026-09-26,Sat,Welcome Ball,8pm,2am,FW26 Arena,Ticketed,yes,Formal dress event — prom dress or suit; dress up and celebrate
2026-09-27,Sun,Feel Good Freshers,10am,3pm,"Art Studio, The Edge L2",Free,no,Creative activities in calm space
2026-09-27,Sun,Sunday Skyline Walk,1pm,4pm,Outside Library,Free,no,Bath skyline walk tour
2026-09-27,Sun,Yoga - Beginner Friendly (City),5pm,6pm,"SCALA Hall, Oldfield Park",Free,no,Beginner yoga
2026-09-27,Sun,Stargazing,8pm,10:30pm,The Lake,Free,no,Telescope observation activity
